,05,06,07,08,09
Area Harvested,84.1,84.1,86.3,86.3,87.1
Area Planted,92.0,92.0,94.1,94.1,94.9
Avg. Farm Price,4.8,4.8,4.8,4.9,4.9
Beginning Stocks,1417.0,1452.0,1402.0,1457.0,1452.0
"Domestic, Total",12385.0,12385.0,12385.0,12340.0,12340.0
Ending Stocks,2222.0,2257.0,2262.0,2202.0,2221.0
Ethanol & by-products,5300.0,5300.0,5300.0,5300.0,5300.0
Exports,2100.0,2100.0,2100.0,2050.0,2050.0
Feed and Residual,5650.0,5650.0,5650.0,5625.0,5625.0
"Food, Seed & Industrial",6735.0,6735.0,6735.0,6715.0,6715.0
Imports,25.0,25.0,25.0,25.0,25.0
Production,15265.0,15265.0,15320.0,15111.0,15134.0
"Supply, Total",16707.0,16742.0,16747.0,16592.0,16611.0
"Use, Total",14485.0,14485.0,14485.0,14390.0,14390.0
Yield per Harvested Acre,181.5,181.5,177.5,175.1,173.8
